clip_id,dominant_operation
output000,Picking
output001,Picking
output002,Assemble
output003,Null
output004,Null
output005,Null
output006,Null
output007,Scan
output008,Scan
output009,Attach
output010,Attach
output011,Picking
output012,Picking
output013,Picking
output014,Assemble
output015,Assemble
output016,Scan
output017,Scan
output018,Picking
output019,Scan
output020,Attach
output021,Picking
output022,Picking
output023,Picking
output024,Assemble
output025,Assemble
output026,Assemble
output027,Assemble
output028,Scan
output029,Scan
output030,Scan
output031,Attach
output032,Picking
output033,Picking
output034,Picking
output035,Assemble
output036,Scan
output037,Assemble
output038,Assemble
output039,Assemble
output040,Scan
output041,Scan
output042,Scan
output043,Scan
output044,Attach
output045,Attach
output046,Picking
output047,Picking
output048,Picking
output049,Null
output050,Null
output051,Null
output052,Null
output053,Null
output054,Null
output055,Null
output056,Null
output057,Null
output058,Scan
output059,Scan
output060,Attach
output061,Picking
output062,Picking
output063,Picking
output064,Assemble
output065,Assemble
output066,Scan
output067,Assemble
output068,Assemble
output069,Scan
output070,Scan
output071,Scan
output072,Attach
output073,Attach
output074,Picking
output075,Picking
output076,Assemble
output077,Assemble
output078,Scan
output079,Scan
output080,Scan
output081,Scan
output082,Attach
output083,Picking
output084,Picking
output085,Assemble
output086,Assemble
output087,Assemble
output088,Scan
output089,Scan
output090,Scan
output091,Attach
output092,Picking
output093,Picking
output094,Picking
output095,Picking
output096,Null
output097,Null
output098,Null
output099,Null
output100,Scan
output101,Scan
output102,Attach
output103,Attach
output104,Picking
output105,Scan
output106,Scan
output107,Picking
output108,Picking
output109,Assemble
output110,Assemble
output111,Scan
output112,Scan
output113,Assemble
output114,Scan
output115,Scan
output116,Scan
output117,Attach
output118,Picking
output119,Picking
output120,Picking
output121,Assemble
output122,Scan
output123,Scan
output124,Scan
output125,Scan
output126,Scan
output127,Attach
output128,Picking
output129,Picking
output130,Assemble
output131,Scan
output132,Scan
output133,Scan
output134,Scan
output135,Scan
output136,Attach
output137,Attach
output138,Picking
output139,Assemble
output140,Assemble
output141,Scan
output142,Scan
output143,Scan
output144,Scan
output145,Attach
output146,Picking
output147,Picking
output148,Assemble
output149,Assemble
output150,Scan
output151,Scan
output152,Scan
output153,Scan
output154,Attach
output155,Attach
output156,Picking
output157,Assemble
output158,Assemble
output159,Assemble
output160,Scan
output161,Scan
output162,Scan
output163,Scan
output164,Attach
output165,Attach
output166,Picking
output167,Picking
output168,Scan
output169,Picking
output170,Picking
output171,Null
output172,Null
output173,Null
output174,Null
output175,Null
output176,Null
output177,Null
output178,Scan
output179,Scan
output180,Picking
output181,Attach
output182,Scan
output183,Picking
output184,Assemble
output185,Assemble
output186,Assemble
output187,Scan
output188,Scan
output189,Scan
output190,Scan
output191,Attach
output192,Scan
output193,Picking
output194,Scan
output195,Scan
output196,Scan
output197,Scan
output198,Scan
output199,Scan
output200,Picking
output201,Attach
output202,Picking
output203,Picking
output204,Assemble
output205,Scan
output206,Scan
output207,Scan
output208,Scan
output209,Attach
output210,Picking
output211,Picking
output212,Assemble
output213,Assemble
output214,Scan
output215,Scan
output216,Scan
output217,Scan
output218,Scan
output219,Attach
output220,Attach
